2018-11-28 23:03:44 Jepsen starting etcd :--log-output :stderr :--name ec2-54-236-10-223.compute-1.amazonaws.com :--listen-peer-urls http://ec2-54-236-10-223.compute-1.amazonaws.com:2380 :--listen-client-urls http://ec2-54-236-10-223.compute-1.amazonaws.com:2379 :--advertise-client-urls http://ec2-54-236-10-223.compute-1.amazonaws.com:2379 :--initial-cluster-state :new :--initial-advertise-peer-urls http://ec2-54-236-10-223.compute-1.amazonaws.com:2380 :--initial-cluster ec2-54-236-10-223.compute-1.amazonaws.com=http://ec2-54-236-10-223.compute-1.amazonaws.com:2380,ec2-100-24-16-184.compute-1.amazonaws.com=http://ec2-100-24-16-184.compute-1.amazonaws.com:2380,ec2-54-204-131-219.compute-1.amazonaws.com=http://ec2-54-204-131-219.compute-1.amazonaws.com:2380,ec2-52-90-218-187.compute-1.amazonaws.com=http://ec2-52-90-218-187.compute-1.amazonaws.com:2380,ec2-34-229-59-126.compute-1.amazonaws.com=http://ec2-34-229-59-126.compute-1.amazonaws.com:2380
2018-11-28 23:03:44.283867 I | etcdmain: etcd Version: 3.1.5
2018-11-28 23:03:44.283902 I | etcdmain: Git SHA: 20490ca
2018-11-28 23:03:44.283910 I | etcdmain: Go Version: go1.7.5
2018-11-28 23:03:44.283915 I | etcdmain: Go OS/Arch: linux/amd64
2018-11-28 23:03:44.283920 I | etcdmain: setting maximum number of CPUs to 2, total number of available CPUs is 2
2018-11-28 23:03:44.283928 W | etcdmain: no data-dir provided, using default data-dir ./ec2-54-236-10-223.compute-1.amazonaws.com.etcd
2018-11-28 23:03:44.283941 W | embed: expected IP in URL for binding (http://ec2-54-236-10-223.compute-1.amazonaws.com:2380)
2018-11-28 23:03:44.283948 W | embed: expected IP in URL for binding (http://ec2-54-236-10-223.compute-1.amazonaws.com:2379)
2018-11-28 23:03:44.292806 I | embed: listening for peers on http://ec2-54-236-10-223.compute-1.amazonaws.com:2380
2018-11-28 23:03:44.293300 I | embed: listening for client requests on ec2-54-236-10-223.compute-1.amazonaws.com:2379
2018-11-28 23:03:44.296640 I | pkg/netutil: resolving ec2-54-236-10-223.compute-1.amazonaws.com:2380 to 172.31.25.64:2380
2018-11-28 23:03:44.297054 I | pkg/netutil: resolving ec2-54-236-10-223.compute-1.amazonaws.com:2380 to 172.31.25.64:2380
2018-11-28 23:03:48.298007 I | etcdserver: name = ec2-54-236-10-223.compute-1.amazonaws.com
2018-11-28 23:03:48.298038 I | etcdserver: data dir = ec2-54-236-10-223.compute-1.amazonaws.com.etcd
2018-11-28 23:03:48.298053 I | etcdserver: member dir = ec2-54-236-10-223.compute-1.amazonaws.com.etcd/member
2018-11-28 23:03:48.298059 I | etcdserver: heartbeat = 100ms
2018-11-28 23:03:48.298067 I | etcdserver: election = 1000ms
2018-11-28 23:03:48.298072 I | etcdserver: snapshot count = 10000
2018-11-28 23:03:48.298084 I | etcdserver: advertise client URLs = http://ec2-54-236-10-223.compute-1.amazonaws.com:2379
2018-11-28 23:03:48.298107 I | etcdserver: initial advertise peer URLs = http://ec2-54-236-10-223.compute-1.amazonaws.com:2380
2018-11-28 23:03:48.298128 I | etcdserver: initial cluster = ec2-100-24-16-184.compute-1.amazonaws.com=http://ec2-100-24-16-184.compute-1.amazonaws.com:2380,ec2-34-229-59-126.compute-1.amazonaws.com=http://ec2-34-229-59-126.compute-1.amazonaws.com:2380,ec2-52-90-218-187.compute-1.amazonaws.com=http://ec2-52-90-218-187.compute-1.amazonaws.com:2380,ec2-54-204-131-219.compute-1.amazonaws.com=http://ec2-54-204-131-219.compute-1.amazonaws.com:2380,ec2-54-236-10-223.compute-1.amazonaws.com=http://ec2-54-236-10-223.compute-1.amazonaws.com:2380
2018-11-28 23:03:48.301924 I | etcdserver: starting member f6f0c3a0ba455ab3 in cluster 38957ac2ed0cbd2c
2018-11-28 23:03:48.301954 I | raft: f6f0c3a0ba455ab3 became follower at term 0
2018-11-28 23:03:48.301970 I | raft: newRaft f6f0c3a0ba455ab3 [peers: [], term: 0, commit: 0, applied: 0, lastindex: 0, lastterm: 0]
2018-11-28 23:03:48.301976 I | raft: f6f0c3a0ba455ab3 became follower at term 1
2018-11-28 23:03:48.313044 I | rafthttp: starting peer 10bf218ab4a912ed...
2018-11-28 23:03:48.313145 I | rafthttp: started HTTP pipelining with peer 10bf218ab4a912ed
2018-11-28 23:03:48.314525 I | rafthttp: started streaming with peer 10bf218ab4a912ed (writer)
2018-11-28 23:03:48.317769 I | rafthttp: started streaming with peer 10bf218ab4a912ed (writer)
2018-11-28 23:03:48.317794 I | rafthttp: started peer 10bf218ab4a912ed
2018-11-28 23:03:48.317818 I | rafthttp: added peer 10bf218ab4a912ed
2018-11-28 23:03:48.317859 I | rafthttp: starting peer 8893f9e0ef4f611f...
