2018-11-29 01:09:21 Jepsen starting etcd :--log-output :stderr :--name ec2-100-24-16-184.compute-1.amazonaws.com :--listen-peer-urls http://ec2-100-24-16-184.compute-1.amazonaws.com:2380 :--listen-client-urls http://ec2-100-24-16-184.compute-1.amazonaws.com:2379 :--advertise-client-urls http://ec2-100-24-16-184.compute-1.amazonaws.com:2379 :--initial-cluster-state :new :--initial-advertise-peer-urls http://ec2-100-24-16-184.compute-1.amazonaws.com:2380 :--initial-cluster ec2-54-236-10-223.compute-1.amazonaws.com=http://ec2-54-236-10-223.compute-1.amazonaws.com:2380,ec2-100-24-16-184.compute-1.amazonaws.com=http://ec2-100-24-16-184.compute-1.amazonaws.com:2380,ec2-54-204-131-219.compute-1.amazonaws.com=http://ec2-54-204-131-219.compute-1.amazonaws.com:2380,ec2-52-90-218-187.compute-1.amazonaws.com=http://ec2-52-90-218-187.compute-1.amazonaws.com:2380,ec2-34-229-59-126.compute-1.amazonaws.com=http://ec2-34-229-59-126.compute-1.amazonaws.com:2380
2018-11-29 01:09:21.125003 I | etcdmain: etcd Version: 3.1.5
2018-11-29 01:09:21.125062 I | etcdmain: Git SHA: 20490ca
2018-11-29 01:09:21.125067 I | etcdmain: Go Version: go1.7.5
2018-11-29 01:09:21.125072 I | etcdmain: Go OS/Arch: linux/amd64
2018-11-29 01:09:21.125077 I | etcdmain: setting maximum number of CPUs to 2, total number of available CPUs is 2
2018-11-29 01:09:21.125086 W | etcdmain: no data-dir provided, using default data-dir ./ec2-100-24-16-184.compute-1.amazonaws.com.etcd
2018-11-29 01:09:21.125100 W | embed: expected IP in URL for binding (http://ec2-100-24-16-184.compute-1.amazonaws.com:2380)
2018-11-29 01:09:21.125107 W | embed: expected IP in URL for binding (http://ec2-100-24-16-184.compute-1.amazonaws.com:2379)
2018-11-29 01:09:21.127607 I | embed: listening for peers on http://ec2-100-24-16-184.compute-1.amazonaws.com:2380
2018-11-29 01:09:21.128105 I | embed: listening for client requests on ec2-100-24-16-184.compute-1.amazonaws.com:2379
2018-11-29 01:09:21.132425 I | pkg/netutil: resolving ec2-100-24-16-184.compute-1.amazonaws.com:2380 to 172.31.28.102:2380
2018-11-29 01:09:21.132918 I | pkg/netutil: resolving ec2-100-24-16-184.compute-1.amazonaws.com:2380 to 172.31.28.102:2380
2018-11-29 01:09:25.133865 I | etcdserver: name = ec2-100-24-16-184.compute-1.amazonaws.com
2018-11-29 01:09:25.133897 I | etcdserver: data dir = ec2-100-24-16-184.compute-1.amazonaws.com.etcd
2018-11-29 01:09:25.133905 I | etcdserver: member dir = ec2-100-24-16-184.compute-1.amazonaws.com.etcd/member
2018-11-29 01:09:25.133910 I | etcdserver: heartbeat = 100ms
2018-11-29 01:09:25.133922 I | etcdserver: election = 1000ms
2018-11-29 01:09:25.133927 I | etcdserver: snapshot count = 10000
2018-11-29 01:09:25.133940 I | etcdserver: advertise client URLs = http://ec2-100-24-16-184.compute-1.amazonaws.com:2379
2018-11-29 01:09:25.133946 I | etcdserver: initial advertise peer URLs = http://ec2-100-24-16-184.compute-1.amazonaws.com:2380
2018-11-29 01:09:25.133982 I | etcdserver: initial cluster = ec2-100-24-16-184.compute-1.amazonaws.com=http://ec2-100-24-16-184.compute-1.amazonaws.com:2380,ec2-34-229-59-126.compute-1.amazonaws.com=http://ec2-34-229-59-126.compute-1.amazonaws.com:2380,ec2-52-90-218-187.compute-1.amazonaws.com=http://ec2-52-90-218-187.compute-1.amazonaws.com:2380,ec2-54-204-131-219.compute-1.amazonaws.com=http://ec2-54-204-131-219.compute-1.amazonaws.com:2380,ec2-54-236-10-223.compute-1.amazonaws.com=http://ec2-54-236-10-223.compute-1.amazonaws.com:2380
2018-11-29 01:09:25.137870 I | etcdserver: starting member e119ce2abc051435 in cluster 38957ac2ed0cbd2c
2018-11-29 01:09:25.137896 I | raft: e119ce2abc051435 became follower at term 0
2018-11-29 01:09:25.137906 I | raft: newRaft e119ce2abc051435 [peers: [], term: 0, commit: 0, applied: 0, lastindex: 0, lastterm: 0]
2018-11-29 01:09:25.137913 I | raft: e119ce2abc051435 became follower at term 1
2018-11-29 01:09:25.147913 I | rafthttp: starting peer 10bf218ab4a912ed...
2018-11-29 01:09:25.147962 I | rafthttp: started HTTP pipelining with peer 10bf218ab4a912ed
2018-11-29 01:09:25.149473 I | rafthttp: started streaming with peer 10bf218ab4a912ed (writer)
2018-11-29 01:09:25.149509 I | rafthttp: started streaming with peer 10bf218ab4a912ed (writer)
2018-11-29 01:09:25.152576 I | rafthttp: started peer 10bf218ab4a912ed
2018-11-29 01:09:25.152607 I | rafthttp: added peer 10bf218ab4a912ed
2018-11-29 01:09:25.152631 I | rafthttp: starting peer 8893f9e0ef4f611f...
2018-11-29 01:09:25.152649 I | rafthttp: started HTTP pipelining with peer 8893f9e0ef4f611f
2018-11-29 01:09:25.153081 I | rafthttp: started streaming with peer 10bf218ab4a912ed (stream MsgApp v2 reader)
2018-11-29 01:09:25.154087 I | rafthttp: started streaming with peer 8893f9e0ef4f611f (writer)
2018-11-29 01:09:25.155699 I | rafthttp: started peer 8893f9e0ef4f611f
2018-11-29 01:09:25.155722 I | rafthttp: added peer 8893f9e0ef4f611f
2018-11-29 01:09:25.155738 I | rafthttp: starting peer e7c1c60b864ae98b...
2018-11-29 01:09:25.155774 I | rafthttp: started HTTP pipelining with peer e7c1c60b864ae98b
2018-11-29 01:09:25.157026 I | rafthttp: started streaming with peer 8893f9e0ef4f611f (stream MsgApp v2 reader)
2018-11-29 01:09:25.157042 I | rafthttp: started streaming with peer 10bf218ab4a912ed (stream Message reader)
2018-11-29 01:09:25.157168 I | rafthttp: started streaming with peer 8893f9e0ef4f611f (stream Message reader)
